song_name,timestamp,ax,ay,az,gx,gy,gz,la,rs,tp
telephone,2026-09-01 15:37:19,-2.4373,0.2332,-1.7917,0.8796,1.2227,-2.9783,2.034,3.3375,5.3715
telephone,2026-09-01 15:37:19,-1.2676,1.603,-0.2031,-0.3345,-0.5632,1.3601,1.0537,1.5096,2.5633
telephone,2026-09-01 15:37:19,-2.3857,-1.1787,-1.844,-0.2507,-1.6016,3.2031,2.2375,3.59,5.8275
telephone,2026-09-01 15:37:19,0.1169,-1.1191,-1.1689,0.3938,0.3547,-0.7805,0.6225,0.9434,1.5659
telephone,2026-09-01 15:37:19,0.0923,-0.4558,-0.5134,0.0046,0.7927,-1.9482,0.3073,2.1033,2.4106
telephone,2026-09-01 15:37:19,-2.1306,2.6309,-0.1777,-0.0984,0.6431,-1.7634,2.3901,1.8796,4.2697
telephone,2026-09-01 15:37:19,-1.0056,0.9248,-0.533,-0.2881,-0.9973,1.7302,0.4664999999999999,2.0177,2.4842
telephone,2026-09-01 15:37:19,-1.2107,-2.582,-3.4573,-0.5981,-1.2183,3.1614,3.4817,3.4404,6.9221
telephone,2026-09-01 15:37:19,0.1155,-0.7822,-1.2456,0.3557,0.3384,-0.8147,0.47540000000000004,0.9512,1.4266
telephone,2026-09-01 15:37:20,-0.6931,0.0071,-0.9729,0.6519,1.082,-2.3147,0.1946000000000001,2.637,2.8316
telephone,2026-09-01 15:37:20,-2.0671,3.3538,-0.1758,0.3738,0.7754,-0.9456,2.9436,1.2787,4.2223
telephone,2026-09-01 15:37:20,-1.0159,0.6125,-0.5259,-0.2668,-1.0601,1.9482,0.2976000000000001,2.2339,2.5315
telephone,2026-09-01 15:37:20,0.4834,-1.8025,-2.7095,-1.2883,-1.2178,2.2141,2.29,2.8364,5.1264
telephone,2026-09-01 15:37:20,0.344,-1.0632,-1.7722,0.5295,0.4888,-0.738,1.0951,1.0315,2.1266
telephone,2026-09-01 15:37:20,-0.4116,0.0972,-0.7334,0.7227,1.0969,-2.1204,0.15339999999999998,2.4943,2.6477
telephone,2026-09-01 15:37:20,-2.2654,3.5269,-0.1387,0.3154,0.7825,-0.876,3.1940999999999997,1.2162,4.4103
telephone,2026-09-01 15:37:20,-1.0203,0.5793,-0.5071,-0.2014,-1.2581,2.2405,0.2782,2.5774,2.8556
telephone,2026-09-01 15:37:20,2.158,-2.4204,-2.6833,-0.7393,-0.1558,1.8875,3.2089999999999996,2.0331,5.2421
telephone,2026-09-01 15:37:20,0.5496,-0.6123,-1.3655,0.3896,0.4819,-0.6365,0.5942000000000001,0.8883,1.4825
telephone,2026-09-01 15:37:21,-2.166,0.3147,-0.9019,1.3494,1.4819,-3.2766,1.3673000000000002,3.841,5.2083
telephone,2026-09-01 15:37:21,-1.1135,1.6155,-0.3274,-0.3997,-0.7871,1.834,0.9892000000000001,2.0354,3.0246
telephone,2026-09-01 15:37:21,0.0898,-2.1147,-2.533,-1.0242,-1.1187,2.4348,2.3009,2.8686,5.1695
telephone,2026-09-01 15:37:21,0.2009,-1.6213,-1.3542,0.0588,0.2681,-0.5715,1.1219999999999999,0.634,1.756
telephone,2026-09-01 15:37:21,-0.1899,-0.2405,-0.8254,1.0164,0.6111,-2.4121,0.11960000000000004,2.6879,2.8075
telephone,2026-09-01 15:37:21,-1.8621,2.2996,-0.043,-0.3,0.3225,-1.8691,1.9592999999999998,1.9203,3.8796
telephone,2026-09-01 15:37:21,-1.6292,0.2705,-0.8953,-0.1689,-1.2019,2.8,0.8786,3.0517,3.9303
telephone,2026-09-01 15:37:21,1.8794,-3.2544,-2.6218,-0.2913,0.3203,1.1846,3.5823,1.2612,4.8435
telephone,2026-09-01 15:37:21,0.3286,-0.9355,-1.3875,0.4595,0.4121,-0.8916,0.7054,1.0844,1.7898
telephone,2026-09-01 15:37:22,-1.4673,0.1802,-1.1689,1.0496,1.3943,-2.8037,0.8846,3.3025,4.1871
telephone,2026-09-01 15:37:22,-1.4646,1.9766,-0.0142,-0.3496,-0.636,1.4771,1.4601000000000002,1.6458,3.1059
telephone,2026-09-01 15:37:22,-2.6489,-0.9158,-1.9946,-0.9851,-2.0217,3.4431,2.44,4.1125,6.5525
telephone,2026-09-01 15:37:22,-0.1389,-1.1265,-1.3438,1.0059,0.4058,-1.0608,0.7589999999999999,1.5172,2.2762
telephone,2026-09-01 15:37:22,-0.0117,-0.2229,-0.3721,-0.0493,0.8733,-1.7651,0.5661,1.9699,2.536
telephone,2026-09-01 15:37:22,-1.791,3.7412,-0.2944,0.2112,0.2344,-0.3713,3.1582,0.4872,3.6454
telephone,2026-09-01 15:37:22,-1.5427,0.0972,-1.1797,-0.2935,-1.1838,2.7295,0.9444999999999999,2.9896,3.9341
telephone,2026-09-01 15:37:22,0.9673,-2.5955,-2.1035,-0.0784,0.3757,0.2551,2.4781,0.4608,2.9389
